title	link	date	title_corrected	summary
Faris puts refugee policy to the people - Trinidad News	https://newsday.co.tt/2018/11/20/faris-puts-refugee-policy-to-the-people/	2018-11-20	Faris puts refugee policy to the people	None 
AG under fire for refugee statements - Trinidad & Tobago Express	https://trinidadexpress.com/news/local/ag-under-fire-for-refugee-statements/article_c37b78b6-edf5-11e8-811e-372d2c60d473.html	2018-11-21	AG under fire for refugee statements	Attorney General Faris Al-Rawi is being challenged for saying that this country does not have refugee laws. According to an article on the website www.amnesty.org, Americas director at Amnesty International, Erika Guevara-Rosas said the AG is mistaken in his understanding of Trinidad and Tobago’s obligations under international law and is in fact bound by international law to uphold the terms of treaties which state that people cannot be deported to countries to which their lives and freedoms are at risk. Al-Rawi had told the Express that T&T was signatory to two UN Conventions which it had not yet ratified and there were at present no refugee laws. 
Young on TT refugee policy: Amnesty International has 'agenda' - Trinidad News	https://newsday.co.tt/2018/11/22/young-faris-on-tt-refugee-policy-amnesty-international-has-agenda/	2018-11-22	Young on TT refugee policy: Amnesty International has 'agenda'	None 
AG: Where will refugees be housed? - Trinidad News	https://newsday.co.tt/2018/11/23/ag-where-will-refugees-be-housed/	2018-11-23	AG: Where will refugees be housed?	None 
Mayor urges citizens to help Cuban refugees - Trinidad Guardian	http://www.guardian.co.tt/news/mayor-urges-citizens-to-help-cuban-refugees-6.2.728204.5521321648	2018-12-02	Mayor urges citizens to help Cuban refugees	Akaloo was heartbroken after several of the refugees reached out to him when they were released from prison last month. Speaking to Guardian Media Sunday, Akaloo said there are 170-plus Cubans now staying at the warehouse. Akaloo said, “I wondered what they were doing for the last four years in this country.” Akaloo said people who want to contribute clothes and food can do so directly through him rather than going to the refugee camp. 
Emergency plan for refugees and migrants from Venezuela - Trinidad Guardian	http://www.guardian.co.tt/news/emergency-plan-for-refugees-and-migrants-from-venezuela-6.2.737576.69c48fd3ad	2018-12-14	Emergency plan for refugees and migrants from Venezuela	They are families, women alone, children, young boys and girls, all in conditions of extreme vulnerability. According to available estimates, during 2018 an average of 5,500 people have been leaving the country every day. Mexico, the Caribbean and Central American countries have so far witnessed a smaller number of arrivals, either directly or through secondary movements. 
Cuban refugee hero in a jam - Trinidad & Tobago Express	https://trinidadexpress.com/news/local/cuban-refugee-hero-in-a-jam/article_ea9caf0c-00d1-11e9-88b4-23371daa855f.html	2018-12-15	Cuban refugee hero in a jam	LAST month, Central businessman Churchill Akaloo was praised for opening the doors of a warehouse to 78 Cuban refugees who had been sleeping on the streets outside the United Nations Refugee Agency (UNHCR) office in Port of Spain. Using his own money, Akaloo installed additional toilets and a kitchen area to make the warehouse more habitable. But now, one month after making the charitable gesture, Akaloo admits he bit off more than he could chew and he feels like the Cubans are taking advantage of his kindness. 
Cubans dispute refugee numbers at warehouse - Trinidad & Tobago Express	https://trinidadexpress.com/news/local/cubans-dispute-refugee-numbers-at-warehouse/article_62ff99bc-0197-11e9-a3cf-f74525904c0d.html	2018-12-16	Cubans dispute refugee numbers at warehouse	ONE day after businessman Churchill Akaloo expressed frustration over the growing number of Cuban refugees at his warehouse in Warrenville, the Cubans are denying that there are 171 people staying at the location. Last month, Akaloo offered the warehouse as a temporary shelter to the group of refugees who were protesting outside the United Nations Refugee Agency (UNHCR) in Port of Spain. Akaloo has since installed additional toilets, a kitchen area and has been providing food for the group. 
Our migrant/refugee 'problem' - Trinidad News	https://newsday.co.tt/2019/01/05/our-migrant-refugee-problem/	2019-01-05	Our migrant/refugee 'problem'	None 
Face up to the refugee issue - Trinidad & Tobago Express	https://trinidadexpress.com/opinion/letters/face-up-to-the-refugee-issue/article_651c21e2-179b-11e9-bc06-eb1a3f3b06aa.html	2019-01-13	Face up to the refugee issue	What a hypocritical society we live in! That soca parang is on the airwaves every Christmas, with endless Trinbagonians singing along... “Ah want a Spanish woman to marry me”. Who would have thought that some ten years later, as we enter 2019, the atmosphere in Trinidad and Tobago is so negative on allowing our Spanish-speaking Venezuelan neighbours to enter T&T seeking asylum? 
