title	link	date	title_corrected	summary
Colombianos, venezolanos y cubanos, mayoría de refugiados en Panamá - Panamá América	https://www.panamaamerica.com.pa/nacion/colombianos-venezolanos-y-cubanos-mayoria-de-refugiados-en-panama-1019124	2016-03-23	Colombianos, venezolanos y cubanos, mayoría de refugiados en Panamá	"La viceministra de Gobierno, María Luisa Romero, señaló que esta guía informativa explica quiénes son los refugiados y quiénes pueden acceder a la protección, además de informar de los servicios básicos que brinda el Estado a las personas que entran al país bajo esta condición. ""A través de la información, la guía nos ayudará a fortalecer la ayuda del refugio, asegurándonos que los solicitantes sean realmente personas que pueden calificar para ser refugiados y no todos los emigrantes"", indicó Romero. El manual fue realizado por varias entidades como la ONPAR, el Alto Comisionado de Naciones Unidas para Refugiados (ACNUR), la ONG Ret Internacional, el Consejo Noruego de Refugiados (NRC) y la organización global HIAS. "
Gobierno presenta guía para la obtención de estatus de refugiado - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/160327/guia-estatus-gobierno-presenta-obtencion	2016-03-27	Gobierno presenta guía para la obtención de estatus de refugiado	La guía informativa tiene como objetivo brindar datos prácticos y útiles a los refugiados, desde que llegan al país hasta su plena integración, señala un comunicado del Ministerio de Gobierno. Sin embargo, el país aún debe trabajar en otros aspectos con el fin de mejorar las condiciones que ofrece a los refugiados. Además, deberá insertarlos en los programas y políticas públicas, como si se tratara de ciudadanos. 
Películas animadas sobre niños refugiados - La Estrella de Panamá	https://www.laestrella.com.pa/economia/160329/ninos-animadas-peliculas-refugiados	2016-03-29	Películas animadas sobre niños refugiados	‘Diariamente, en todas partes, la gente los está ayudando con pequeños actos de humanidad', dijo Escudero. ‘Estos actos rara vez aparecen en las noticias, pero constituyen una gran diferencia en el mundo de niños refugiados y migrantes individuales. Después de un peligroso escape de Siria, Ivine se encuentra en un campamento para refugiados en Alemania en donde tiene que enfrentar un nuevo desafío. 
Situación de migrantes Cubanos en David, recibe toda la atención del gobierno panameño – Noticias de panamá Periódico diario de Panamá Novedades - panama24horas.com.pa	https://www.panama24horas.com.pa/ultimas-noticias/situacion-de-migrantes-cubanos-en-david-recibe-toda-la-atencion-del-gobierno-panameno/	2016-04-21	Situación de migrantes Cubanos en David, recibe toda la atención del gobierno panameño – Noticias de panamá Periódico diario de Panamá Novedades	Los albergues están dirigidos exclusivamente para los ciudadanos de la isla caribeña, quienes pernoctan en Paso Canoas en su travesía hacia Estados Unidos. Los casos más repetidos son la lluvia de peces o ranas, algunos animales no sobreviven la caída pero otros caen intactos, incluso vivos. Durante este suceso los animales pequeños como los peces son capturados y elevados hasta las nubes, para posteriormente caer como precipitación en otro lugar. 
Panamá y Costa Rica emprenden acciones para mejorar seguridad humana de migrantes temporales Ngäbe Buglé en la Ruta del Café – Noticias de panamá Periódico diario de Panamá Novedades - panama24horas.com.pa	https://www.panama24horas.com.pa/ultimas-noticias/panama-y-costa-rica-emprenden-acciones-para-mejorar-seguridad-humana-de-migrantes-temporales-ngabe-bugle-en-la-ruta-del-cafe/	2016-04-30	Panamá y Costa Rica emprenden acciones para mejorar seguridad humana de migrantes temporales Ngäbe Buglé en la Ruta del Café – Noticias de panamá Periódico diario de Panamá Novedades	Esta semana se celebró el Encuentro Binacional Panamá- Costa Rica, con el Asesor del Viceministerio de Asuntos Multilaterales y Cooperación, Alejandro Mendoza, como el líder de la delegación panameña. Mendoza recalcó la importancia del programa para eliminar las brechas y hacer frente a los desafíos que existen, con miras a mejorar la condición de estos migrantes. “Para el Gobierno de Panamá, la promoción, protección y fortalecimiento de los derechos humanos constituye un pilar esencial en su agenda actual, con miras a lograr un país integrado y cohesionado socialmente, para lograr adecuadas y mejores condiciones de vida” agregó Alejandro Mendoza. 
Onpar fortalece mecanismo para otorgar estatus de refugiado - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/160504/onpar-otorgar-estatus-fortalece-mecanismo	2016-05-04	Onpar fortalece mecanismo para otorgar estatus de refugiado	- Los funcionarios se capacitan para analizar las causas que provocan el desplazamiento. Andrés Ramírez, representante Regional de Acnur para Panamá, Centroamérica, México y Cuba, explicó que el objetivo del taller es ofrecer a los funcionarios de la Onpar nuevas herramientas que le permitan tener mejor entendimiento de lo que es la ley panameña sobre el refugio y que manejen claramente los principales elementos que definen a un refugiado. Acnur denunció, recientemente, el incremento de desplazamiento en Centroamérica por la violencia que generan las pandillas, especialmente en El Salvador, Honduras y Guatemala. 
La ONU reporta varios miles de desplazados en Colombia - La Prensa de Panamá	https://www.prensa.com/mundo/ONU-reporta-varios-desplazados-Colombia_0_4481551916.html	2016-05-12	La ONU reporta varios miles de desplazados en Colombia	A través de su agencia para los refugiados (ACNUR) y de la oficina del Alto Comisionado para los Derechos Humanos, el organismo indicó en un comunicado que la crisis humanitaria dejó desde marzo más de 6 mil desplazados y 7 mil personas que han visto restringida su movilización. Los desplazados, en su mayoría pertenecientes a comunidades indígenas y negras, han llegado hasta algunas cabeceras de municipios chocoanos en busca de protección. En Chocó, el oeste del país, tienen presencia los narco paramilitares y las guerrillas. 
Detectan casi 6.000 migrantes irregulares que iban a Panamá - Crítica	https://www.critica.com.pa/sucesos/detectan-casi-6000-migrantes-irregulares-que-iban-panama-433926	2016-05-18	Detectan casi 6.000 migrantes irregulares que iban a Panamá	"(Foto:Ilustrativa) Por: Bogotá/ EFE - Las autoridades colombianas han detectado a casi 6.000 migrantes irregulares que transitaban por el país con destino a Panamá en lo que va de año, informaron hoy fuentes oficiales. En este sentido, explicó que tomó la decisión de cerrar la frontera con Colombia al paso de los indocumentados porque no está capacitado para ""seguir asumiendo esta situación: para eso no fuimos elegidos por el pueblo"". Todos ellos han recibido asistencia humanitaria y ahora se estudia la posibilidad de deportarlos hacia el último país por el que hicieron tránsito de forma regular. "
Ricky Martin visita a refugiados sirios en Líbano - La Prensa	https://www.prensa.com/entretenimiento/unicef-libano-ricky-martin_0_4498050303.html	2016-06-03	Ricky Martin visita a refugiados sirios en Líbano	"Algunos niños desafortunadamente no están yendo a la escuela"", dijo el jueves en una entrevista exclusiva con The Associated Press en Minnieh, en el norte de Líbano. Durante su visita, Martin también se reunió con adolescentes que reciben entrenamiento de conocimientos prácticos, según UNICEF. Dijo que la joven refugiada de 11 años, llamada Batoul, está ""trabajando en agricultura, 12 horas al día, y le pagan con agua"". "
Jóvenes refugiados solicitan al gobierno ampliar oportunidades para formación académica en universidades del país – Noticias de panamá Periódico diario de Panamá Novedades - panama24horas.com.pa	https://www.panama24horas.com.pa/ultimas-noticias/jovenes-refugiados-solicitan-al-gobierno-ampliar-oportunidades-para-formacion-academica-en-universidades-del-pais/	2016-06-20	Jóvenes refugiados solicitan al gobierno ampliar oportunidades para formación académica en universidades del país – Noticias de panamá Periódico diario de Panamá Novedades	Actualmente el Decreto, solo permite a los niños, adolescentes y jóvenes en condición de refugiados estudiar a nivel de la escuela básica general, pre-media y media, motivo por el cual buscan promover el decreto a nivel de las universidades o a través de un foro con los rectores. (20/6/2016 – web) Voceros del grupo Evolución Artística y Cultural entre Adolescentes y Jóvenes (EACAJ), compuesto por jóvenes refugiados y solicitantes de refugio, entregaron al ministro de Gobierno, Milton Henríquez una propuesta para la ampliación del Decreto Ejecutivo Nº1225, que les permita ingresar a las universidades del país y realizar estudios superiores. Por su parte, Magnolia Santamaría, directora nacional de la Fundación RET en Panamá, resaltó la labor que está realizando la ONPAR como una oficina activa, que está en calle y es líder de las organizaciones de la sociedad civil que trabajan en el apoyo a las personas refugiadas en el país y que participa activamente en sensibilización. 
