title	link	source	date	title_corrected	migracion
Ex-Bad Boy rapper lands new role in Belize's House of Representatives | TheHill - The Hill	https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vdGhlaGlsbC5jb20vcG9saWN5L2ludGVybmF0aW9uYWwvYW1lcmljYXMvNTYwNDU3LWV4LWJhZC1ib3ktcmFwcGVyLWxhbmRzLW5ldy1yb2xlLWluLWJlbGl6ZXMtaG91c2Utb2bSAXFodHRwczovL3RoZWhpbGwuY29tL3BvbGljeS9pbnRlcm5hdGlvbmFsL2FtZXJpY2FzLzU2MDQ1Ny1leC1iYWQtYm95LXJhcHBlci1sYW5kcy1uZXctcm9sZS1pbi1iZWxpemVzLWhvdXNlLW9mP2FtcA?oc=5	The Hill	2021-06-27	Ex-Bad Boy rapper lands new role in Belize's House of RepresentativesTheHill	0
The big picture: Mennonite women in Belize - The Guardian	https://news.google.com/__i/rss/rd/articles/CBMicmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9hcnRhbmRkZXNpZ24vMjAyMS9qdW4vMjcvdGhlLWJpZy1waWN0dXJlLW1lbm5vbml0ZS13b21lbi1pbi1iZWxpemUtYzE5NTAtamFrZS1taWNoYWVsc9IBcmh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS9hcnRhbmRkZXNpZ24vMjAyMS9qdW4vMjcvdGhlLWJpZy1waWN0dXJlLW1lbm5vbml0ZS13b21lbi1pbi1iZWxpemUtYzE5NTAtamFrZS1taWNoYWVscw?oc=5	The Guardian	2021-06-27	The big picture: Mennonite women in Belize	0
Life in the slow lane: meet the Mennonites of Belize – in pictures - The Guardian	https://news.google.com/__i/rss/rd/articles/CBMid2h0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9hcnRhbmRkZXNpZ24vZ2FsbGVyeS8yMDIxL2p1bi8yOS9tZW5ub25pdGVzLWJlbGl6ZS1waWN0dXJlcy1waG90b2dyYXBoeS1qYWtlLW1pY2hhZWxzLWMxOTUw0gEA?oc=5	The Guardian	2021-06-29	Life in the slow lane: meet the Mennonites of Belize – in pictures	0
Breaking Travel News interview: Anthony Mahler, minister of tourism, Belize - Breaking Travel News	https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vd3d3LmJyZWFraW5ndHJhdmVsbmV3cy5jb20vZm9jdXMvYXJ0aWNsZS9icmVha2luZy10cmF2ZWwtbmV3cy1pbnRlcnZpZXctYW50aG9ueS1tYWhsZXItbWluaXN0ZXItb2YtdG91cmlzbS1iZWxpemUv0gEA?oc=5	Breaking Travel News	2021-07-07	 interview: Anthony Mahler, minister of tourism, Belize	0
San Fernando Valley sprinter competed for Belize, carried nation’s flag at Tokyo Olympics - LA Daily News	https://news.google.com/__i/rss/rd/articles/CBMiZmh0dHBzOi8vd3d3LmRhaWx5bmV3cy5jb20vMjAyMS8wOC8wMi9zYW4tZmVybmFuZG8tdmFsbGV5LXNwcmludGVyLXJ1bm5pbmctZm9yLWJlbGl6ZS1pbi10b2t5by1vbHltcGljc9IBa2h0dHBzOi8vd3d3LmRhaWx5bmV3cy5jb20vMjAyMS8wOC8wMi9zYW4tZmVybmFuZG8tdmFsbGV5LXNwcmludGVyLXJ1bm5pbmctZm9yLWJlbGl6ZS1pbi10b2t5by1vbHltcGljcy9hbXAv?oc=5	LA Daily News	2021-08-02	San Fernando Valley sprinter competed for Belize, carried nation’s flag at Tokyo Olympics	0
Covid-19 test required for visitors to Belize | News - Breaking Travel News	https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LmJyZWFraW5ndHJhdmVsbmV3cy5jb20vbmV3cy9hcnRpY2xlL2NvdmlkLTE5LXRlc3QtcmVxdWlyZXMtZm9yLXZpc2l0b3JzLXRvLWJlbGl6ZS_SAQA?oc=5	Breaking Travel News	2021-08-06	Covid-19 test required for visitors to BelizeNews	0
Meet Belize's secluded Mennonites, a community frozen in time - CNN	https://news.google.com/__i/rss/rd/articles/CBMiTGh0dHBzOi8vd3d3LmNubi5jb20vc3R5bGUvYXJ0aWNsZS9iZWxpemUtbWVubm9uaXRlcy1qYWtlLW1pY2hhZWxzL2luZGV4Lmh0bWzSAUhodHRwczovL3d3dy5jbm4uY29tL3N0eWxlL2FtcC9iZWxpemUtbWVubm9uaXRlcy1qYWtlLW1pY2hhZWxzL2luZGV4Lmh0bWw?oc=5	CNN	2021-08-09	Meet Belize's secluded Mennonites, a community frozen in time	0
Belize competing in the Caribbean Cycling Championships in the Dominican Republic on Thursday - Breaking Belize News	https://news.google.com/__i/rss/rd/articles/CBMijAFodHRwczovL3d3dy5icmVha2luZ2JlbGl6ZW5ld3MuY29tLzIwMjEvMDgvMTEvYmVsaXplLWNvbXBldGluZy1pbi10aGUtY2FyaWJiZWFuLWN5Y2xpbmctY2hhbXBpb25zaGlwcy1pbi10aGUtZG9taW5pY2FuLXJlcHVibGljLW9uLXRodXJzZGF5L9IBAA?oc=5	Breaking Belize News	2021-08-12	Belize competing in the Caribbean Cycling Championships in the Dominican Republic on Thursday	0
Belize Body Building & Fitness Federation moves to the Marion Jones Sporting Complex in Belize City - Breaking Belize News	https://news.google.com/__i/rss/rd/articles/CBMikAFodHRwczovL3d3dy5icmVha2luZ2JlbGl6ZW5ld3MuY29tLzIwMjEvMDgvMTMvYmVsaXplLWJvZHktYnVpbGRpbmctZml0bmVzcy1mZWRlcmF0aW9uLW1vdmVzLXRvLXRoZS1tYXJpb24tam9uZXMtc3BvcnRpbmctY29tcGxleC1pbi1iZWxpemUtY2l0eS_SAQA?oc=5	Breaking Belize News	2021-08-13	Belize Body Building & Fitness Federation moves to the Marion Jones Sporting Complex in Belize City	0
Three variants of concern in Belize - Amandala	https://news.google.com/__i/rss/rd/articles/CBMiQWh0dHBzOi8vYW1hbmRhbGEuY29tLmJ6L25ld3MvdGhyZWUtdmFyaWFudHMtb2YtY29uY2Vybi1pbi1iZWxpemUv0gEA?oc=5	Amandala	2021-08-14	Three variants of concern in Belize	0
UCLA football coach interested in ten players, says Football Federation of Belize - Breaking Belize News	https://news.google.com/__i/rss/rd/articles/CBMif2h0dHBzOi8vd3d3LmJyZWFraW5nYmVsaXplbmV3cy5jb20vMjAyMS8wOC8xMy91Y2xhLWZvb3RiYWxsLWNvYWNoLWludGVyZXN0ZWQtaW4tdGVuLXBsYXllcnMtc2F5cy1mb290YmFsbC1mZWRlcmF0aW9uLW9mLWJlbGl6ZS_SAQA?oc=5	Breaking Belize News	2021-08-14	UCLA football coach interested in ten players, says Football Federation of Belize	0
Belize's active COVID cases pass 700 just 2 months after they hovered below 200 - Breaking Belize News	https://news.google.com/__i/rss/rd/articles/CBMifWh0dHBzOi8vd3d3LmJyZWFraW5nYmVsaXplbmV3cy5jb20vMjAyMS8wOC8xNi9iZWxpemVzLWFjdGl2ZS1jb3ZpZC1jYXNlcy1wYXNzLTcwMC1qdXN0LTItbW9udGhzLWFmdGVyLXRoZXktaG92ZXJlZC1iZWxvdy0yMDAv0gEA?oc=5	Breaking Belize News	2021-08-16	Belize's active COVID cases pass 700 just 2 months after they hovered below 200	0
Sanctuary Belize Receiver Seeks $2M From Bahamas Deal - Law360	https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vd3d3LmxhdzM2MC5jb20vYXJ0aWNsZXMvMTQxMjQ5OC9zYW5jdHVhcnktYmVsaXplLXJlY2VpdmVyLXNlZWtzLTJtLWZyb20tYmFoYW1hcy1kZWFs0gEraHR0cHM6Ly93d3cubGF3MzYwLmNvbS9hbXAvYXJ0aWNsZXMvMTQxMjQ5OA?oc=5	Law360	2021-08-17	Sanctuary Belize Receiver Seeks $2M From Bahamas Deal	0
