title	link	source	date	title_corrected
Barcelona Sporting Club pone en duda su participación en torneos de Ecuador por ‘altas y profundas preocupaciones sobre nivel de arbitraje nacional’ - El Universo	https://news.google.com/__i/rss/rd/articles/CBMi0AFodHRwczovL3d3dy5lbHVuaXZlcnNvLmNvbS9kZXBvcnRlcy9jYW1wZW9uYXRvLWVjdWF0b3JpYW5vL2JhcmNlbG9uYS1zcG9ydGluZy1jbHViLXBvbmUtZW4tZHVkYS1wYXJ0aWNpcGFjaW9uLWVuLXRvcm5lb3MtZGUtZWN1YWRvci1wb3ItYWx0YXMteS1wcm9mdW5kYXMtcHJlb2N1cGFjaW9uZXMtc29icmUtbml2ZWwtZGUtYXJiaXRyYWplLW5hY2lvbmFsLW5vdGEv0gHfAWh0dHBzOi8vd3d3LmVsdW5pdmVyc28uY29tL2RlcG9ydGVzL2NhbXBlb25hdG8tZWN1YXRvcmlhbm8vYmFyY2Vsb25hLXNwb3J0aW5nLWNsdWItcG9uZS1lbi1kdWRhLXBhcnRpY2lwYWNpb24tZW4tdG9ybmVvcy1kZS1lY3VhZG9yLXBvci1hbHRhcy15LXByb2Z1bmRhcy1wcmVvY3VwYWNpb25lcy1zb2JyZS1uaXZlbC1kZS1hcmJpdHJhamUtbmFjaW9uYWwtbm90YS8_b3V0cHV0VHlwZT1hbXA?oc=5	El Universo	2021-08-16	Barcelona Sporting Club pone en duda su participación en torneos de Ecuador por ‘altas y profundas preocupaciones sobre nivel de arbitraje nacional’
Fuga de información reservada afectó el proceso judicial de Lisbeth Baquerizo, según sus familiares - El Comercio (Ecuador)	https://news.google.com/__i/rss/rd/articles/CBMihAFodHRwczovL3d3dy5lbGNvbWVyY2lvLmNvbS9hY3R1YWxpZGFkL3NlZ3VyaWRhZC9mdWdhLWluZm9ybWFjaW9uLXJlc2VydmFkYS1hZmVjdG8tcHJvY2Vzby1qdWRpY2lhbC1saXNiZXRoLWJhcXVlcml6by1mYW1pbGlhcmVzLmh0bWzSAQA?oc=5	El Comercio (Ecuador)	2021-08-16	Fuga de información reservada afectó el proceso judicial de Lisbeth Baquerizo, según sus familiares
Quintero, Bauman y Achilier marcaron los mejores goles de la cuarta fecha del campeonato ecuatoriano - El Comercio (Ecuador)	https://news.google.com/__i/rss/rd/articles/CBMikQFodHRwczovL3d3dy5lbGNvbWVyY2lvLmNvbS91bmNhdGVnb3JpemVkL3F1aW50ZXJvLWJhdW1hbi15LWFjaGlsaWVyLW1hcmNhcm9uLWxvcy1tZWpvcmVzLWdvbGVzLWRlLWxhLWN1YXJ0YS1mZWNoYS1kZWwtY2FtcGVvbmF0by1lY3VhdG9yaWFuby5odG1s0gEA?oc=5	El Comercio (Ecuador)	2021-08-16	Quintero, Bauman y Achilier marcaron los mejores goles de la cuarta fecha del campeonato ecuatoriano
El piloto Alfonso Darquea sufrió un accidente en la Primera Válida Nacional de autos clásicos - El Comercio (Ecuador)	https://news.google.com/__i/rss/rd/articles/CBMihgFodHRwczovL3d3dy5lbGNvbWVyY2lvLmNvbS9kZXBvcnRlcy9lbC1waWxvdG8tYWxmb25zby1kYXJxdWVhLXN1ZnJpby11bi1hY2NpZGVudGUtZW4tbGEtcHJpbWVyYS12YWxpZGEtbmFjaW9uYWwtZGUtYXV0b3MtY2xhc2ljb3MuaHRtbNIBAA?oc=5	El Comercio (Ecuador)	2021-08-16	El piloto Alfonso Darquea sufrió un accidente en la Primera Válida Nacional de autos clásicos
Hallan a migrante que cayó del muro de EE.UU. y llevaba tres días lesionado - El Comercio (Ecuador)	https://news.google.com/__i/rss/rd/articles/CBMiVmh0dHBzOi8vd3d3LmVsY29tZXJjaW8uY29tL2FjdHVhbGlkYWQvbXVuZG8vaGFsbGFuLW1pZ3JhbnRlLWNheW8tbXVyby1lZXV1LWxlc2lvbi5odG1s0gEA?oc=5	El Comercio (Ecuador)	2021-08-16	Hallan a migrante que cayó del muro de EE.UU. y llevaba tres días lesionado
Barcelona SC reclamó a la FEF por el arbitraje de Juan Carlos Andrade - El Comercio (Ecuador)	https://news.google.com/__i/rss/rd/articles/CBMidWh0dHBzOi8vd3d3LmVsY29tZXJjaW8uY29tL2RlcG9ydGVzL2Z1dGJvbC9iYXJjZWxvbmEtc2MtcmVjbGFtby1hLWxhLWZlZi1wb3ItZWwtYXJiaXRyYWplLWRlLWp1YW4tY2FybG9zLWFuZHJhZGUuaHRtbNIBAA?oc=5	El Comercio (Ecuador)	2021-08-16	Barcelona SC reclamó a la FEF por el arbitraje de Juan Carlos Andrade
El enigmático espía nazi Walther Giese, el “Führer de Ecuador” que se esfumó sin dejar rastros - infobae	https://news.google.com/__i/rss/rd/articles/CBMimAFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL2hpc3RvcmlhLWFtZXJpY2EvMjAyMS8wOC8xNi9lbC1lbmlnbWF0aWNvLWVzcGlhLW5hemktd2FsdGhlci1naWVzZS1lbC1mdWhyZXItZGUtZWN1YWRvci1xdWUtc2UtZXNmdW1vLXNpbi1kZWphci1yYXN0cm9zL9IBrAFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL2hpc3RvcmlhLWFtZXJpY2EvMjAyMS8wOC8xNi9lbC1lbmlnbWF0aWNvLWVzcGlhLW5hemktd2FsdGhlci1naWVzZS1lbC1mdWhyZXItZGUtZWN1YWRvci1xdWUtc2UtZXNmdW1vLXNpbi1kZWphci1yYXN0cm9zLz9vdXRwdXRUeXBlPWFtcC10eXBl?oc=5	infobae	2021-08-16	El enigmático espía nazi Walther Giese, el “Führer de Ecuador” que se esfumó sin dejar rastros
No hubo acuerdos en la reunión entre gobernador de Manabí y quienes se oponen a instalación de radar en cerro de Montecristi - El Universo	https://news.google.com/__i/rss/rd/articles/CBMirgFodHRwczovL3d3dy5lbHVuaXZlcnNvLmNvbS9ub3RpY2lhcy9lY3VhZG9yL25vLWh1Ym8tYWN1ZXJkb3MtZW4tbGEtcmV1bmlvbi1lbnRyZS1nb2Jlcm5hZG9yLWRlLW1hbmFiaS15LXF1aWVuZXMtc2Utb3BvbmVuLWEtaW5zdGFsYWNpb24tZGUtcmFkYXItZW4tY2Vycm8tZGUtbW9udGVjcmlzdGktbm90YS_SAb0BaHR0cHM6Ly93d3cuZWx1bml2ZXJzby5jb20vbm90aWNpYXMvZWN1YWRvci9uby1odWJvLWFjdWVyZG9zLWVuLWxhLXJldW5pb24tZW50cmUtZ29iZXJuYWRvci1kZS1tYW5hYmkteS1xdWllbmVzLXNlLW9wb25lbi1hLWluc3RhbGFjaW9uLWRlLXJhZGFyLWVuLWNlcnJvLWRlLW1vbnRlY3Jpc3RpLW5vdGEvP291dHB1dFR5cGU9YW1w?oc=5	El Universo	2021-08-17	No hubo acuerdos en la reunión entre gobernador de Manabí y quienes se oponen a instalación de radar en cerro de Montecristi
CorteIDH condena a Ecuador por destitución de militar que denunció torturas y desapariciones forzadas - El Comercio (Ecuador)	https://news.google.com/__i/rss/rd/articles/CBMic2h0dHBzOi8vd3d3LmVsY29tZXJjaW8uY29tL2FjdHVhbGlkYWQvc2VndXJpZGFkL2NvcnRlaWRoLWNvbmRlbmEtZWN1YWRvci1kZXN0aXR1Y2lvbi1taWxpdGFyLWRlbnVuY2lhLXRvcnR1cmFzLmh0bWzSAQA?oc=5	El Comercio (Ecuador)	2021-08-17	CorteIDH condena a Ecuador por destitución de militar que denunció torturas y desapariciones forzadas
El BIESS no hará desinversiones de su portafolio de $21 millones - Ecuavisa	https://news.google.com/__i/rss/rd/articles/CBMicmh0dHBzOi8vd3d3LmVjdWF2aXNhLmNvbS9ub3RpY2lhcy9lY3VhZG9yL2VsLWJpZXNzLW5vLWhhcmEtZGVzaW52ZXJzaW9uZXMtZGUtc3UtcG9ydGFmb2xpby1kZS0yMS1taWxsb25lcy1EQzY2NDczMdIBdmh0dHBzOi8vd3d3LmVjdWF2aXNhLmNvbS9hbXAvbm90aWNpYXMvZWN1YWRvci9lbC1iaWVzcy1uby1oYXJhLWRlc2ludmVyc2lvbmVzLWRlLXN1LXBvcnRhZm9saW8tZGUtMjEtbWlsbG9uZXMtREM2NjQ3MzE?oc=5	Ecuavisa	2021-08-17	El BIESS no hará desinversiones de su portafolio de $21 millones
