title	link	source	date	title_corrected
Así va la intención de voto para las elecciones presidenciales del 2022 - El Tiempo	https://news.google.com/__i/rss/rd/articles/CBMidmh0dHBzOi8vd3d3LmVsdGllbXBvLmNvbS9wb2xpdGljYS9wYXJ0aWRvcy1wb2xpdGljb3MvZWxlY2Npb25lcy0yMDIyLXF1aWVuLWxpZGVyYS1pbnRlbmNpb24tZGUtdm90by1hZ29zdG8tMjAyMS02MTA0ODHSAXpodHRwczovL3d3dy5lbHRpZW1wby5jb20vYW1wL3BvbGl0aWNhL3BhcnRpZG9zLXBvbGl0aWNvcy9lbGVjY2lvbmVzLTIwMjItcXVpZW4tbGlkZXJhLWludGVuY2lvbi1kZS12b3RvLWFnb3N0by0yMDIxLTYxMDQ4MQ?oc=5	El Tiempo	2021-08-16	Así va la intención de voto para las elecciones presidenciales del 2022
Ingreso solidario: así puede cobrar los pagos de ciclos anteriores - El Tiempo	https://news.google.com/__i/rss/rd/articles/CBMieWh0dHBzOi8vd3d3LmVsdGllbXBvLmNvbS9lY29ub21pYS9maW5hbnphcy1wZXJzb25hbGVzL2luZ3Jlc28tc29saWRhcmlvLWNvbW8tY29icmFyLWxvcy1wYWdvcy1kZS1jaWNsb3MtYW50ZXJpb3Jlcy02MTA5NTjSAX1odHRwczovL3d3dy5lbHRpZW1wby5jb20vYW1wL2Vjb25vbWlhL2ZpbmFuemFzLXBlcnNvbmFsZXMvaW5ncmVzby1zb2xpZGFyaW8tY29tby1jb2JyYXItbG9zLXBhZ29zLWRlLWNpY2xvcy1hbnRlcmlvcmVzLTYxMDk1OA?oc=5	El Tiempo	2021-08-16	Ingreso solidario: así puede cobrar los pagos de ciclos anteriores
Joven fue asesinado con arma de fuego en el barrio El Diamante - Vanguardia	https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vbS52YW5ndWFyZGlhLmNvbS9qdWRpY2lhbC9qb3Zlbi1mdWUtYXNlc2luYWRvLWNvbi1hcm1hLWRlLWZ1ZWdvLWVuLWVsLWJhcnJpby1lbC1kaWFtYW50ZS1BQjQxMzE4MjjSAQA?oc=5	Vanguardia	2021-08-16	Joven fue asesinado con arma de fuego en el barrio El Diamante
Falleció un adolescente al caer de un edificio en Fusagasugá - Publimetro Colombia	https://news.google.com/__i/rss/rd/articles/CBMicmh0dHBzOi8vd3d3LnB1YmxpbWV0cm8uY28vY28vbm90aWNpYXMvMjAyMS8wOC8xNi9mYWxsZWNpby11bi1hZG9sZXNjZW50ZS1hbC1jYWVyLWRlLXVuLWVkaWZpY2lvLWVuLWZ1c2FnYXN1Z2EuaHRtbNIBgQFodHRwczovL3d3dy5wdWJsaW1ldHJvLmNvL2NvL25vdGljaWFzLzIwMjEvMDgvMTYvZmFsbGVjaW8tdW4tYWRvbGVzY2VudGUtYWwtY2Flci1kZS11bi1lZGlmaWNpby1lbi1mdXNhZ2FzdWdhLmh0bWw_b3V0cHV0VHlwZT1hbXA?oc=5	Publimetro Colombia	2021-08-16	Falleció un adolescente al caer de un edificio en Fusagasugá
En agosto van 14 homicidios en Cartagena: 6 en riñas y 5 en sicariatos - El Universal - Colombia	https://news.google.com/__i/rss/rd/articles/CBMidmh0dHBzOi8vd3d3LmVsdW5pdmVyc2FsLmNvbS5jby9zdWNlc29zL2VuLWFnb3N0by12YW4tMTQtaG9taWNpZGlvcy1lbi1jYXJ0YWdlbmEtNi1lbi1yaW5hcy15LTUtZW4tc2ljYXJpYXRvcy1YWTUyMDMxNzbSAQA?oc=5	El Universal - Colombia	2021-08-17	En agosto van 14 homicidios en Cartagena: 6 en riñas y 5 en sicariatosEl Universal
Rodolfo Hernández ofrece disculpas y dice que confundió una frase de Einstein con una de Hitler - Revista Semana	https://news.google.com/__i/rss/rd/articles/CBMijgFodHRwczovL3d3dy5zZW1hbmEuY29tL25hY2lvbi9hcnRpY3Vsby9yb2RvbGZvLWhlcm5hbmRlei1vZnJlY2UtZGlzY3VscGFzLXktZGljZS1xdWUtY29uZnVuZGlvLXVuYS1mcmFzZS1kZS1laW5zdGVpbi1jb24tdW5hLWRlLWhpdGxlci8yMDIxMzcv0gGSAWh0dHBzOi8vd3d3LnNlbWFuYS5jb20vYW1wL25hY2lvbi9hcnRpY3Vsby9yb2RvbGZvLWhlcm5hbmRlei1vZnJlY2UtZGlzY3VscGFzLXktZGljZS1xdWUtY29uZnVuZGlvLXVuYS1mcmFzZS1kZS1laW5zdGVpbi1jb24tdW5hLWRlLWhpdGxlci8yMDIxMzcv?oc=5	Revista Semana	2021-08-17	Rodolfo Hernández ofrece disculpas y dice que confundió una frase de Einstein con una de Hitler
Un carro se fue a un abismo en California, Santander, dejando un muerto y un herido - Vanguardia	https://news.google.com/__i/rss/rd/articles/CBMifWh0dHBzOi8vbS52YW5ndWFyZGlhLmNvbS9qdWRpY2lhbC91bi1jYXJyby1zZS1mdWUtYS11bi1hYmlzbW8tZW4tY2FsaWZvcm5pYS1zYW50YW5kZXItZGVqYW5kby11bi1tdWVydG8teS11bi1oZXJpZG8tTVk0MTMzMjg00gEA?oc=5	Vanguardia	2021-08-17	Un carro se fue a un abismo en California, Santander, dejando un muerto y un herido
¿Por qué la Comisión de la Verdad escuchó a Juan Manuel Santos y a Álvaro Uribe quiso enjuiciarlo? - Revista Semana	https://news.google.com/__i/rss/rd/articles/CBMijwFodHRwczovL3d3dy5zZW1hbmEuY29tL25hY2lvbi9hcnRpY3Vsby9wb3ItcXVlLWxhLWNvbWlzaW9uLWRlLWxhLXZlcmRhZC1lc2N1Y2hvLWEtanVhbi1tYW51ZWwtc2FudG9zLXktYS1hbHZhcm8tdXJpYmUtcXVpc28tZW5qdWljaWFybG8vMjAyMTA4L9IBkwFodHRwczovL3d3dy5zZW1hbmEuY29tL2FtcC9uYWNpb24vYXJ0aWN1bG8vcG9yLXF1ZS1sYS1jb21pc2lvbi1kZS1sYS12ZXJkYWQtZXNjdWNoby1hLWp1YW4tbWFudWVsLXNhbnRvcy15LWEtYWx2YXJvLXVyaWJlLXF1aXNvLWVuanVpY2lhcmxvLzIwMjEwOC8?oc=5	Revista Semana	2021-08-17	¿Por qué la Comisión de la Verdad escuchó a Juan Manuel Santos y a Álvaro Uribe quiso enjuiciarlo?
Roban a estadounidense en Bogotá con vieja táctica: ladrones le dijeron que eran policías - Pulzo.com	https://news.google.com/__i/rss/rd/articles/CBMiTGh0dHBzOi8vd3d3LnB1bHpvLmNvbS9uYWNpb24vcm9iYW4tY2l1ZGFkYW5vLWVzdGFkb3MtdW5pZG9zLWJvZ290YS1QUDEwNzE0MjbSAVBodHRwczovL3d3dy5wdWx6by5jb20vYW1wL25hY2lvbi9yb2Jhbi1jaXVkYWRhbm8tZXN0YWRvcy11bmlkb3MtYm9nb3RhLVBQMTA3MTQyNg?oc=5	Pulzo.com	2021-08-17	Roban a estadounidense en Bogotá con vieja táctica: ladrones le dijeron que eran policías
Capturan a hombre que presuntamente asesinó a su esposa e hijo en Itagüí - Revista Semana	https://news.google.com/__i/rss/rd/articles/CBMid2h0dHBzOi8vd3d3LnNlbWFuYS5jb20vbmFjaW9uL2FydGljdWxvL2NhcHR1cmFuLWEtaG9tYnJlLXF1ZS1wcmVzdW50YW1lbnRlLWFzZXNpbm8tYS1zdS1lc3Bvc2EtZS1oaWpvLWVuLWl0YWd1aS8yMDIxMTAv0gF7aHR0cHM6Ly93d3cuc2VtYW5hLmNvbS9hbXAvbmFjaW9uL2FydGljdWxvL2NhcHR1cmFuLWEtaG9tYnJlLXF1ZS1wcmVzdW50YW1lbnRlLWFzZXNpbm8tYS1zdS1lc3Bvc2EtZS1oaWpvLWVuLWl0YWd1aS8yMDIxMTAv?oc=5	Revista Semana	2021-08-17	Capturan a hombre que presuntamente asesinó a su esposa e hijo en Itagüí
